rooms,area1,area2,area3,district,floor,total_floors,building_type,year,additional_info,price
4,58.6,43.0,6.0,г. Дзержинск,3,5,панель,1981,undefind,4270000
3,59.0,45.0,6.0,г. Дзержинск,1,5,панель,1968,хрущ.,5200000
2,44.0,31.0,6.0,г. Дзержинск,5,5,кирпич,1967,хрущ.,3790000
2,41.0,30.0,5.0,г. Дзержинск,1,3,кирпич,1959,стар. фонд,3590000
2,41.4,28.5,5.4,Канавинский район,4,5,кирпич,1966,хрущ.,4000000
1,32.0,22.6,5.4,Советский район,1,2,кирпич,1958,народн. стр.,4700000
1,31.2,17.0,6.0,г. Кстово,4,5,кирпич,1969,undefind,3100000
К,17.4,15.0,1.0,Автозаводский район,5,10,панель,2020,undefind,3650000
2,31.4,19.3,6.1,Ленинский район,2,5,кирпич,1961,хрущ.,4250000
3,55.8,42.1,5.6,Автозаводский район,1,5,кирпич,1965,хрущ.,5900000
3,57.7,38.8,8.8,Советский район,1,9,панель,1976,undefind,8100000
2,57.4,31.8,9.8,г. Кстово,2,4,кирпич,1958,undefind,4250000
3,63.5,49.0,6.0,Канавинский район,1,5,кирпич,1970,хрущ.,5300000
1,30.3,19.0,5.5,Ленинский район,1,5,панель,1968,брежн.,4100000
1,39.71,11.67,13.82,Автозаводский район,2,25,блок+утеплитель,2024,undefind,7000000
2,46.0,32.0,6.0,Ленинский район,4,5,панель,1968,брежн.,5400000
4,73.4,46.0,8.0,Московский район,3,9,кирпич,1984,undefind,7400000
2,42.8,27.0,6.9,Автозаводский район,7,9,панель,1990,undefind,6000000
1,30.7,19.0,6.1,Автозаводский район,4,10,блок+утеплитель,2011,undefind,4430000
К,20.5,18.5,1.0,Автозаводский район,2,10,кирпич,2019,undefind,3850000
3,60.5,42.0,7.0,Приокский район,2,2,шлакоблок,1950,народн. стр.,4700000
К,17.2,11.0,1.0,Автозаводский район,3,10,панель,2012,undefind,3100000
2,34.0,25.2,4.7,Автозаводский район,1,2,шлакоблок,1957,народн. стр.,2850000
2,48.0,32.0,9.0,Автозаводский район,3,3,кирпич,1964,хрущ.,3100000
2,51.12,24.5,11.5,Автозаводский район,9,25,блок+утеплитель,2024,undefind,8322336
2,45.0,30.0,6.0,Автозаводский район,4,5,панель,1965,брежн.,4200000
1,32.0,16.5,8.5,Сормовский район,1,10,панель,2021,undefind,4700000
4,63.0,43.0,6.0,Ленинский район,5,5,кирпич,1970,хрущ.,6500000
3,55.2,37.3,6.3,Автозаводский район,1,2,шлакоблок,1949,народн. стр.,4800000
2,52.3,30.1,8.8,Канавинский район,9,9,панель,1985,undefind,5900000
2,51.0,27.8,8.6,г. Балахна,1,5,кирпич,2023,undefind,4499000
2,27.3,17.3,6.0,Автозаводский район,4,5,кирпич,1972,хрущ.,3200000
1,18.1,14.0,2.5,Автозаводский район,1,5,кирпич,1972,хрущ.,2300000
3,59.7,42.5,7.3,Нижегородский район,1,9,панель,1977,undefind,6500000
1,40.9,16.5,9.8,г. Кстово,10,15,блок+утеплитель,2024,undefind,6000000
2,54.0,28.0,7.0,Советский район,4,4,кирпич,1960,хрущ.,7600000
1,32.7,17.3,6.0,Московский район,1,5,панель,1971,брежн.,3300000
2,37.4,27.7,5.0,Автозаводский район,1,3,шлакоблок,1960,народн. стр.,3800000
1,31.0,17.0,6.0,Советский район,1,5,кирпич,1969,хрущ.,4700000
2,35.0,22.0,6.0,Нижегородский район,2,2,дерево,1899,стар. фонд,2100000
1,20.5,11.1,5.5,Московский район,8,9,кирпич,1981,малогабар.,2850000
3,58.4,45.9,5.6,Автозаводский район,1,5,панель,1966,брежн.,5350000
2,32.5,22.0,6.0,Приокский район,1,2,кирпич,1958,народн. стр.,3150000
К,17.2,12.5,1.0,Автозаводский район,3,10,панель,2012,undefind,3100000
3,66.0,39.0,8.0,г. Кстово,6,9,кирпич,1986,undefind,5990000
2,42.1,27.0,6.0,Канавинский район,1,3,кирпич,1962,хрущ.,4000000
2,52.0,30.0,9.0,Канавинский район,8,9,панель,1985,undefind,6200000
3,59.4,45.7,6.0,Советский район,2,5,панель,1968,брежн.,5800000
2,53.5,31.0,8.4,Новинский сельсовет,3,3,блок+утеплитель,2016,undefind,4300000
1,30.7,16.4,6.4,Автозаводский район,4,5,кирпич,1970,хрущ.,3700000
1,31.3,17.4,5.4,Автозаводский район,1,5,кирпич,1960,хрущ.,4000000
2,49.43,22.91,10.7,Ленинский район,9,14,монолитный железобетон,2024,undefind,9737710
1,48.09,17.49,13.55,Ленинский район,11,14,монолитный железобетон,2024,undefind,9137100
1,33.8,20.0,6.0,г. Арзамас,4,5,кирпич,1994,undefind,3590000
1,35.0,20.0,9.0,г. Арзамас,3,5,кирпич,1991,undefind,3400000
2,44.3,29.7,5.6,Сормовский район,3,3,кирпич,1960,хрущ.,5399000
1,24.0,8.9,7.1,с. Дуденево,1,3,кирпич,,undefind,1800000
3,47.7,35.0,7.0,Канавинский район,2,2,дерево,,стар. фонд,2150000
1,34.2,11.1,13.3,дер. Анкудиновка,5,25,монолитный железобетон,2026,undefind,4343400
2,38.0,25.0,5.0,г. Бор,2,3,блок+утеплитель,,undefind,2500000
1,23.8,14.0,5.0,дер. Анкудиновка,25,25,монолитный железобетон,,undefind,3950000
3,77.6,49.3,14.0,Московский район,5,5,кирпич,1958,стал.,7000000
1,45.3,18.0,10.0,Советский район,7,17,блок+утеплитель,2020,undefind,8550000
2,60.5,30.0,7.9,Нижегородский район,5,10,панель,2002,undefind,9000000
1,40.73,13.7,11.63,Нижегородский район,3,27,блок+утеплитель,2023,undefind,6999980
2,44.3,30.7,5.8,Приокский район,1,5,кирпич,1962,хрущ.,5070000
3,86.0,40.0,13.8,г. Богородск,4,5,кирпич,2022,undefind,7650000
1,30.6,15.8,8.2,Московский район,6,10,панель,2016,undefind,5000000
2,46.1,27.25,8.43,Новинский сельсовет,3,3,блок+утеплитель,,undefind,4000000
3,61.0,43.7,7.2,Советский район,9,9,панель,1982,undefind,7190000
2,46.0,30.7,6.9,Автозаводский район,9,9,панель,1978,undefind,4870000
К,20.0,14.0,1.0,Ленинский район,2,2,кирпич,1952,народн. стр.,2050000
1,36.6,18.0,10.5,Автозаводский район,4,5,кирпич,1993,undefind,3430000
2,41.0,30.0,5.5,г. Дзержинск,1,5,кирпич,1976,хрущ.,3650000
1,37.3,13.8,12.3,дер. Анкудиновка,4,19,монолитный железобетон,2026,undefind,4960900
1,38.27,11.0,14.22,Ленинский район,3,14,монолитный железобетон,2024,undefind,7567893
3,62.4,43.6,7.0,Московский район,1,9,панель,1988,undefind,6300000
3,66.5,38.3,9.3,Нижегородский район,9,10,панель,1997,undefind,7300000
2,48.7,20.8,12.3,дер. Анкудиновка,21,25,панель,2026,undefind,5746600
2,41.8,26.0,5.3,Приокский район,1,5,кирпич,1963,хрущ.,4700000
2,44.1,28.2,5.8,Советский район,4,5,кирпич,1962,хрущ.,5490000
1,37.8,13.2,4.3,дер. Анкудиновка,2,24,панель,2020,undefind,5150000
2,61.0,26.0,23.9,Советский район,1,8,монолитный железобетон,2026,undefind,9345627
2,27.7,22.2,3.0,Автозаводский район,4,5,кирпич,1972,хрущ.,2960000
3,64.9,38.8,9.7,Нижегородский район,10,10,панель,1991,undefind,7400000
2,47.5,31.4,8.7,Канавинский район,2,17,блок+утеплитель,2012,undefind,8250000
3,69.0,47.8,8.9,Советский район,1,5,кирпич,1952,стал.,9000000
2,45.5,31.1,5.9,Канавинский район,3,5,кирпич,1970,хрущ.,5200000
2,52.0,29.4,9.0,Канавинский район,8,9,панель,1984,undefind,6950000
3,65.4,37.1,9.3,Канавинский район,7,9,панель,1987,undefind,9699999
2,45.1,28.7,6.9,Нижегородский район,4,9,кирпич,1970,undefind,9200000
1,31.2,18.5,5.7,Ленинский район,3,4,кирпич,1962,хрущ.,4450000
2,45.1,30.7,6.4,Приокский район,5,5,кирпич,1973,хрущ.,5300000
1,34.2,11.1,13.3,дер. Анкудиновка,5,25,монолитный железобетон,2026,undefind,4275000
1,39.5,16.0,11.0,Канавинский район,2,12,кирпич,2015,undefind,6000000
1,34.7,18.2,8.4,Автозаводский район,2,4,кирпич,1932,стал.,4740000
1,30.0,17.0,5.0,г. Богородск,4,5,кирпич,1973,undefind,2180000
3,58.6,37.4,7.0,Сормовский район,6,9,панель,1984,undefind,7400000
3,82.7,53.8,10.3,г. Дзержинск,2,3,кирпич,1955,стал.,7500000
3,60.2,41.0,5.9,Сормовский район,3,5,кирпич,1971,хрущ.,5600000
1,30.2,19.0,5.5,Ленинский район,5,5,панель,1964,брежн.,3850000
3,54.2,40.9,6.2,Московский район,2,5,кирпич,1960,хрущ.,5210000
3,50.0,33.9,5.9,Сормовский район,5,5,панель,1974,брежн.,5600000
1,35.7,20.7,9.3,Нижегородский район,4,4,кирпич,1917,стал.,7700000
2,70.0,34.4,13.0,Советский район,3,18,блок+утеплитель,2020,undefind,9800000
4,59.8,42.0,6.0,Канавинский район,5,5,панель,1982,брежн.,5200000
2,52.9,30.0,8.2,г. Балахна,2,3,блок+утеплитель,,undefind,3200000
2,42.9,28.5,6.0,Приокский район,5,5,кирпич,1962,хрущ.,4900000
3,82.5,38.3,21.9,дер. Анкудиновка,21,25,панель,2024,undefind,9487500
2,44.1,28.0,7.1,Сормовский район,9,9,панель,1985,undefind,4950000
